Time,Ax,Ay,Fx_WC_L1,Fx_WC_L2,Fx_WC_R1,Fx_WC_R2,Fy_WC_L1,Fy_WC_L2,Fy_WC_R1,Fy_WC_R2,Fz_WC_L1,Fz_WC_L2,Fz_WC_R1,Fz_WC_R2,Mx_WC_L1,Mx_WC_L2,Mx_WC_R1,Mx_WC_R2,My_WC_L1,My_WC_L2,My_WC_R1,My_WC_R2,Mz_WC_L1,Mz_WC_L2,Mz_WC_R1,Mz_WC_R2
1.1, -0.0423593908616, 0.586030774444, 5.942167027472, 120.4446881155, -40.28205737561, 18.24302220843, 681.0106473155, 119.2110344834, 993.3369828428, 182.6286334879, 534.2890137946, 316.8694273089, 1304.024549842, 1066.585263147, 195.1949159318, 36.23251222318, 269.8300260591, 39.51494030518, -0.7265089269942, -33.50618318531, 0.80163064805, -5.839588584448, -2.366021212234, -0.03683704291949, -0.6342529915978, -4.548048247013
1.125, -0.04466139915153, 0.6091159775587, 7.305047137612, 119.3236489904, -46.15394411831, 9.227261661828, 662.0397968385, 165.8494421017, 967.0708517617, 264.8263626276, 519.6445877667, 306.7380537112, 1348.824827152, 1090.419057829, 189.7545474838, 49.41614280587, 261.9815440228, 61.86092397287, -1.044135696394, -33.20685962219, 1.941157337425, -3.488985992488, -2.757006449842, -0.3489314550379, -1.479421045731, -5.886547105135
1.15, -0.03621731766528, 0.6956013339931, 4.960326251403, 141.2813752499, -40.97921009435, 21.73544064042, 713.1833115225, 273.3657162759, 976.0739436562, 394.8860606075, 572.1420378829, 367.5531991222, 1266.792817592, 1015.799698852, 204.1060087135, 80.33527289271, 264.9351905242, 98.79508831307, -0.2275023439841, -39.27113367938, 1.04221947277, -6.901837462364, -3.607534519531, -1.024498590434, -0.5104937804707, -7.337528480544
1.175, -0.03446187466741, 0.7107710497668, 4.778449772025, 142.0437624096, -40.92263004758, 18.17533995795, 642.6750712916, 291.9550585667, 997.575786505, 478.1034082953, 494.9225196474, 305.7086137308, 1360.546501898, 1094.892288083, 184.2117857931, 85.38899303941, 270.1102610828, 120.6824310508, -0.1974903376222, -39.50068517657, 0.2143638695706, -6.066723876366, -2.58276720712, -0.759320569864, -1.008484932765, -8.560317140475
1.2, -0.03772234792665, 0.7139717849957, 6.054152303365, 130.9184799908, -44.99544957003, 13.63942657717, 590.7862971946, 290.8880778292, 1002.44830825, 540.1199042095, 446.2147599798, 271.0127409352, 1420.781357235, 1139.021814417, 169.5624302078, 84.80775507269, 271.0363213725, 137.1162943188, -0.5603177770945, -36.42760417511, 0.7515775197774, -4.933418846394, -2.14985487184, -0.5059086770975, -0.9337965634832, -9.434999711685
1.225, -0.02995479232272, 0.7703371254521, 4.856441783462, 149.7133991754, -43.17928274287, 28.46146884933, 617.8884756623, 342.5244105488, 1032.220227046, 624.8197985955, 468.7380431391, 306.6984325901, 1360.662723428, 1077.074807396, 177.1421509559, 99.65412919305, 279.5744978377, 161.3462921971, -0.1092817986012, -41.60700573364, 0.6530998210892, -8.944822891261, -2.416503767072, -0.6243639536778, -0.370080918477, -9.803224002805
1.25, -0.0266227533862, 0.8075639344617, 4.625126483375, 159.0976142008, -39.99270039942, 31.96837993212, 620.8084961573, 360.7508623732, 1067.835435188, 701.0862004214, 469.3349393994, 304.1934387493, 1338.321866512, 1212.725186173, 177.9494621402, 104.8104982562, 289.6109780778, 180.6886665416, 0.01883901242563, -44.19363647815, -0.1279604374616, -10.05070469277, -2.176302403215, -0.3086290938782, 0.5347313328785, -10.85554126171
1.275, -0.0329404755779, 0.7948784037096, 5.757267409454, 137.4062065572, -43.78569805004, 29.45612409714, 582.7610815542, 299.602360049, 1085.016880302, 740.181819347, 437.2633597882, 241.018132469, 1401.593661004, 1265.090044911, 167.2182100334, 86.8813402379, 294.0332974306, 190.7371826632, -0.3728121949269, -38.23304672659, 0.1979819689679, -9.582181124317, -1.699613255651, 0.1632065515659, 0.8528336073802, -11.20086319061
1.3, -0.0256316104664, 0.8139208621585, 5.245667293111, 144.5100890279, -46.0308300251, 51.50994845436, 598.1124559577, 274.3267375874, 1102.592529831, 791.5152302882, 449.9416101715, 222.0866809138, 1387.844862441, 1151.626430855, 171.5077033248, 79.37609797785, 299.0093437829, 206.5004802042, -0.2598784299615, -40.2375331541, 0.6053113446988, -15.68597447501, -1.647950446227, 0.3459304402905, 1.490833685148, -10.52400469374
1.325, -0.01147020947546, 0.8340985766433, 3.426660644156, 167.1535637708, -45.19757812527, 78.21222557909, 598.2986562428, 255.2215300204, 1127.51981181, 849.1318649525, 450.4526127695, 213.9742736075, 1370.908353074, 1061.440672754, 171.5420035871, 73.75172457763, 306.0370464581, 223.7273386852, 0.1876505447715, -46.5441440607, 0.202001086383, -23.02345609127, -1.461651143221, 0.4839093644098, 2.356403933025, -9.255161477516
1.35, -0.008205187647784, 0.8270083964701, 3.999200365725, 158.8105006882, -47.3358150338, 90.87133220378, 542.9003645347, 217.5583598307, 1145.471168494, 900.3833004945, 407.1698892447, 185.7654982902, 1430.070819709, 1123.711069126, 155.9231413188, 62.55770274411, 310.733566525, 237.0594381178, -0.08285616011084, -44.2606828602, 0.04632142277109, -26.67457890896, -1.052840201031, 0.5038253196198, 2.98521582204, -9.511597664373
1.375, 0.004784558157877, 0.8489883057272, 4.200628673703, 175.3618163301, -49.4467553945, 119.9673495682, 538.6976826097, 237.0689575528, 1163.439846151, 944.5140460748, 405.6863738018, 203.1543128933, 1437.09973632, 1186.281450257, 154.7076727015, 68.32027159821, 315.7302308841, 248.4739887876, -0.1333401349518, -48.84583224098, 0.4491033406581, -34.66409691343, -0.9700428381026, 0.5896897585122, 3.576928861847, -9.664492321653
1.4, 0.02520321479871, 0.8835160751201, 2.548093647728, 213.2747769301, -47.37139021062, 156.5559381271, 564.5616485576, 265.731470219, 1184.346184321, 987.1026316204, 428.1582379655, 234.3026416681, 1382.305937496, 1188.671098241, 161.9802638069, 76.86476495283, 321.8408345093, 260.3346666993, 0.3883559983982, -59.32708817836, 0.3180488741701, -44.53675545586, -0.9835377211478, 0.7196340324566, 4.276337927423, -9.006308965127
